,state,lga_name,locality_name,lc1_1,rm2b,inf1a_1,inf1a_2,inf1a_3,inf1a_4,inf1a_5
21362,OGUN,OGUN WATERSIDE,ODE OMI,yes,,yes,no,no,yes,no
21363,OGUN,OBAFEMI OWODE,AYEGUNLE VILLAGE,no,,no,no,no,no,yes
21364,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,no,no,yes,no
21365,OGUN,ADO-ODO_OTA,EJIGUN AGBEDE,yes,,no,no,no,no,no
21366,OGUN,OBAFEMI OWODE,AYEGUNLE VILLAGE,no,,no,no,no,no,yes
21367,OGUN,ABEOKUTA  NORTH,OKE ATA,no,,no,no,no,no,yes
21368,OGUN,EWEKORO,SOJUOLU,yes,,no,no,no,yes,no
21369,OGUN,IPOKIA,ASEKO-IBATEFIN,no,,no,no,no,yes,no
21370,OGUN,ABEOKUTA   SOUTH,IFESOWAPO,no,,no,no,no,no,no
21371,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21372,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,yes,no,no,no
21373,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21374,OGUN,IFO,OLAMBE,no,,no,no,no,no,no
21375,OGUN,OGUN WATERSIDE,ODE OMI,yes,,no,no,no,yes,no
21376,OGUN,EGBADO NORTH,AYETORO,yes,no,yes,yes,no,no,no
21377,OGUN,EGBADO SOUTH,ILARO,no,,no,no,no,no,no
21378,OGUN,EWEKORO,OBADA-OKO,no,,no,no,no,no,no
21379,OGUN,IJEBU NORTH EAST,ILESE,yes,no,no,no,no,no,no
21380,OGUN,OGUN WATERSIDE,AGO KETA,yes,,no,no,no,yes,no
21381,OGUN,IKENNE,ILISAN,no,,no,no,no,no,no
21382,OGUN,ODOGBOLU,IKANGBA,no,,no,no,no,yes,no
21383,OGUN,OBAFEMI OWODE,AREPO,no,,no,no,no,no,no
21384,OGUN,IKENNE,IPERU,no,,no,no,no,yes,no
21385,OGUN,EWEKORO,OBADA-OKO,yes,no,no,no,no,no,yes
21386,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,no,no,yes,no
21387,OGUN,EWEKORO,SOJUOLU,no,,no,no,no,no,no
21388,OGUN,ADO-ODO_OTA,EJIGUN AGBEDE,no,,no,no,yes,no,yes
21389,OGUN,EGBADO NORTH,AYETORO,no,,no,yes,no,yes,yes
21390,OGUN,IKENNE,IPERU,no,,no,no,yes,no,no
21391,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,yes,no
21392,OGUN,IJEBU ODE,IJEBU ODE,yes,,no,yes,no,no,yes
21393,OGUN,EGBADO SOUTH,OWODE YEWA,no,no,no,no,no,yes,yes
21394,OGUN,ADO-ODO_OTA,EJIGUN AGBEDE,no,,no,no,no,no,yes
21395,OGUN,ODEDA,OBANTOKO,no,,no,no,no,yes,no
21396,OGUN,IJEBU NORTH,AWA,no,,no,no,no,no,no
21397,OGUN,ODEDA,BODE OLUDE,no,,no,no,yes,no,yes
21398,OGUN,SAGAMU,ILU OLOYE,yes,,no,no,no,yes,no
21399,OGUN,IKENNE,ILISAN,no,,no,no,no,no,no
21400,OGUN,IJEBU ODE,IJEBU ODE,no,,no,no,no,no,no
21401,OGUN,IMEKO_AFON,ILARA,no,,no,yes,no,yes,no
21402,OGUN,OBAFEMI OWODE,AREPO,no,,no,no,no,no,no
21403,OGUN,OBAFEMI OWODE,PAKURO,no,,no,no,no,no,yes
21404,OGUN,IJEBU ODE,ODO LAGAYE,no,,no,no,no,no,no
21405,OGUN,ABEOKUTA   SOUTH,OLUWO,no,,no,no,no,no,no
21406,OGUN,IKENNE,IKENNE,no,,no,no,no,yes,no
21407,OGUN,ABEOKUTA   SOUTH,IFESOWAPO,no,,no,no,no,yes,no
21408,OGUN,ODEDA,BODE OLUDE,yes,,no,yes,no,yes,no
21409,OGUN,IJEBU ODE,ODO LAGAYE,no,,no,no,no,no,no
21410,OGUN,IJEBU NORTH EAST,ILESE,yes,,no,no,no,yes,no
21411,OGUN,IKENNE,IPERU,no,,no,no,no,no,no
21412,OGUN,EWEKORO,SOJUOLU,no,,no,no,no,yes,no
21413,OGUN,EGBADO NORTH,AYETORO,no,,no,no,no,yes,no
21414,OGUN,ADO-ODO_OTA,IGBEREN IGBOJOI,yes,,no,no,no,no,no
21415,OGUN,IFO,SHONDE,yes,no,no,no,no,no,no
21416,OGUN,OGUN WATERSIDE,ODE OMI,yes,,yes,no,no,yes,no
21417,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,no,no
21418,OGUN,SAGAMU,OGIJO,yes,no,yes,no,no,yes,no
21419,OGUN,REMO NORTH,ODE REMO,no,,yes,no,no,yes,no
21420,OGUN,IJEBU NORTH,AWA,no,no,yes,no,no,no,no
21421,OGUN,IJEBU NORTH,LEWULOGUN,no,,no,no,no,no,no
21422,OGUN,IJEBU EAST,IJEBU IFE,no,,no,no,no,no,no
21423,OGUN,EGBADO NORTH,AYETORO,no,,no,no,no,no,no
21424,OGUN,IJEBU EAST,IJEBU IFE,no,,yes,yes,no,no,no
21425,OGUN,ABEOKUTA   SOUTH,IJEMO,no,,no,no,no,yes,no
21426,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,no,no,no,yes,no,no,no
21427,OGUN,OGUN WATERSIDE,ONIKITINBI,no,,no,no,no,yes,no
21428,OGUN,EWEKORO,OBADA-OKO,no,,yes,no,no,yes,no
21429,OGUN,EWEKORO,SOJUOLU,no,no,no,no,no,no,no
21430,OGUN,EWEKORO,OBADA-OKO,no,no,yes,no,no,no,yes
21431,OGUN,IJEBU EAST,IGAN NLA,no,,no,yes,no,yes,yes
21432,OGUN,IKENNE,IPERU,no,,no,no,no,yes,no
21433,OGUN,IJEBU EAST,IGAN NLA,no,,no,no,yes,no,no
21434,OGUN,OBAFEMI OWODE,PAKURO,no,,no,yes,no,yes,no
21435,OGUN,SAGAMU,ILU OLOYE,no,,no,no,no,no,no
21436,OGUN,REMO NORTH,ODE REMO,yes,no,yes,no,no,yes,no
21437,OGUN,IJEBU NORTH,LEWULOGUN,yes,,no,no,no,no,no
21438,OGUN,EWEKORO,EJIO,no,,no,no,yes,no,no
21439,OGUN,IKENNE,ILISAN,no,,no,no,no,yes,no
21440,OGUN,EGBADO SOUTH,OWODE YEWA,no,,no,no,no,yes,no
21441,OGUN,SAGAMU,ILU OLOYE,no,,no,no,no,yes,no
21442,OGUN,ABEOKUTA  NORTH,ILUPEJU OKE ODO,no,,no,no,no,no,no
21443,OGUN,ODEDA,OBANTOKO,no,no,no,no,no,yes,no
21444,OGUN,OBAFEMI OWODE,AYEGUNLE VILLAGE,no,,no,no,no,no,yes
21445,OGUN,ADO-ODO_OTA,IGBEREN IGBOJOI,no,no,no,no,no,no,no
21446,OGUN,IJEBU ODE,IJEBU ODE,no,,no,no,no,no,no
21447,OGUN,REMO NORTH,ODE REMO,no,,no,no,no,no,no
21448,OGUN,IJEBU NORTH EAST,ILESE,yes,,no,no,no,no,no
21449,OGUN,EWEKORO,OBADA-OKO,no,,yes,no,no,yes,no
